label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,8948,2,276.943,17.31928,0.6105825,,,,,0,0,276.943,3517.806,4103.717,3951.189
,0,8949,3,208.098,2.657167,0.6557871,,,,,0,0,208.098,38280.91,41235.08,38791.64
,0,8950,3,349.1811,2.440583,0.8467063,,,,,0,0,349.1811,36407.25,37470.43,18662.35
,0,8951,2,501.198,4.010933,0.8363014,,,,,0,0,501.198,40429.97,49092.19,43546.05
,0,8952,2,512.3466,2.163506,0.7457442,,,,,0,0,512.3466,7825.344,3259.227,9785.118
,0,8953,2,484.0423,1.86655,0.8500842,,,,,0,0,484.0423,27187.92,22738.79,35989.48
,0,8954,3,278.2127,2.628744,0.8471954,,,,,0,0,278.2127,29860.53,24792.59,26555.6
,0,8955,2,498.3438,2.688833,0.8010942,,,,,0,0,498.3438,14830.27,11439.32,26724.84
,0,8956,2,705.4097,3.830339,0.7125256,,,,,0,0,705.4097,42694.89,21560.46,41995.72
,0,8957,3,573.3072,4.017228,0.8509281,,,,,0,0,573.3072,43673.45,21234.01,31752.88
,0,8958,2,591.2665,3.998334,0.8339997,,,,,0,0,591.2665,27604.23,10315.89,44095.45
,0,8959,3,591.2659,2.692073,0.6637185,,,,,0,0,591.2659,26120.72,46942.04,26458.69
,0,8960,3,298.9897,11.60063,0.8082404,,,,,0,0,298.9897,39164,26308.22,19796.33
,0,8961,3,373.0105,13.90623,0.8505017,,,,,0,0,373.0105,32787.26,38898.52,50184.72
,0,8962,3,420.9998,14.47652,0.8409505,,,,,0,0,420.9998,23052.46,24247.81,24287.5
,0,8963,2,420.9961,13.77956,0.7932809,,,,,0,0,420.9961,28633.22,8680.34,23346.8
,0,8964,3,418.1408,7.051328,0.7309763,,,,,0,0,418.1408,50368.43,41330.44,46288.57
,0,8965,3,344.1948,4.007784,0.8475904,,,,,0,0,344.1948,46268.19,43486.74,32845.52
,0,8966,2,344.1949,6.776634,0.8214811,,,,,0,0,344.1949,15455.12,11602.91,16842.48
,0,8967,3,236.8044,7.0119,0.8501481,,,,,0,0,236.8044,54006.19,47756.39,43477.82
,0,8968,3,255.1013,2.308906,0.7887391,,,,,0,0,255.1013,877565.7,810763.2,847376
,0,8969,2,203.0351,4.001472,0.8013846,,,,,0,0,203.0351,18084.46,20370.19,16789.26
,0,8970,3,396.1244,7.005773,0.8455434,,,,,0,0,396.1244,38303.47,41449.61,52507.8
,0,8971,2,141.0716,13.94893,0.7447321,,,,,0,0,141.0716,39374.01,33753.89,96093.34
,0,8972,2,365.94,13.3821,0.7710631,,,,,0,0,365.94,49084.43,39578.83,29546.43
,0,8973,3,143.9758,12.81044,0.8474637,,,,,0,0,143.9758,37004.9,43379.5,44670.89
,0,8974,2,604.4453,3.950923,0.8359355,,,,,0,0,604.4453,36317.88,43715.02,30958.86
,0,8975,3,731.5068,2.622439,0.8250991,,,,,0,0,731.5068,23938.99,27118.86,40636.16
,0,8976,3,612.1481,14.04607,0.8503652,,,,,0,0,612.1481,54366,46565.23,46440.11
,0,8977,3,635.2919,4.023645,0.8411691,,,,,0,0,635.2919,14311.5,45983.34,28763.11
,0,8978,2,635.2922,2.739828,0.8292127,,,,,0,0,635.2922,31731.81,52301.99,32891
,0,8979,2,253.0282,2.172995,0.8281813,,,,,0,0,253.0282,9690.244,13765.11,10953.59
,0,8980,2,303.997,7.064717,0.7101955,,,,,0,0,303.997,2143.287,7834.912,5996.635
,0,8981,2,165.9816,2.211005,0.8411661,,,,,0,0,165.9816,19728.44,24291.79,24450.11
,0,8982,2,391.1401,2.5691,0.797426,,,,,0,0,391.1401,23700.48,17909.97,29075.49
,0,8983,2,391.1401,2.9172,0.6900125,,,,,0,0,391.1401,8816.384,14844.6,14405.95
,0,8984,2,391.1403,6.905706,0.6567292,,,,,0,0,391.1403,8049.967,9467.433,6464.547
,0,8985,2,217.0483,11.39894,0.8468971,,,,,0,0,217.0483,43663.86,36289.19,46483.55
,0,8986,2,97.08291,13.74819,0.7826046,,,,,0,0,97.08291,41436.72,32375.73,8240.201
,0,8987,3,237.165,3.9129,0.8448023,,,,,0,0,237.165,53414.8,36659.01,46861.42
,0,8988,3,196.0251,11.059,0.818414,,,,,0,0,196.0251,22480.78,23315.65,24147.04
,0,8989,2,196.0252,2.198889,0.6877078,,,,,0,0,196.0252,44490.78,38533.49,33537.23
,0,8990,3,419.0043,14.45541,0.8477126,,,,,0,0,419.0043,48524.89,46238.72,52714.86
,0,8991,3,581.4573,3.830817,0.8475655,,,,,0,0,581.4573,38403.86,52255.94,43354.65
,0,8992,2,390.2008,2.503334,0.844465,,,,,0,0,390.2008,89515.46,68858.59,53647.56
,0,8993,3,390.2005,4.004639,0.8305988,,,,,0,0,390.2005,25723.29,32445.24,16508.86
,0,8994,3,208.8504,2.169934,0.8393889,,,,,0,0,208.8504,43101.08,48074.61,45915.34
,0,8995,2,271.2475,2.622456,0.8409541,,,,,0,0,271.2475,30090.41,23175.18,29041.93
,0,8996,2,568.2331,2.481422,0.8450601,,,,,0,0,568.2331,34327.27,75357.3,28047.34
,0,8997,3,565.9962,13.454,0.8491372,,,,,0,0,565.9962,29947.62,49193.4,43928.77
,0,8998,3,295.0822,3.979278,0.8277019,,,,,0,0,295.0822,43031.51,31244.11,33323.05
,0,8999,2,295.0821,2.910661,0.7651482,,,,,0,0,295.0821,18191.52,16227.97,10539.11
,0,9000,3,479.2079,2.531472,0.8444785,,,,,0,0,479.2079,32704.36,27592.92,13599.48
,0,9001,2,256.1638,2.660322,0.8495172,,,,,0,0,256.1638,38617.33,44480.03,38155.51
,0,9002,2,248.9969,13.87362,0.8463939,,,,,0,0,248.9969,37263.5,68867.95,66713.57
,0,9003,3,248.9993,12.78745,0.8244976,,,,,0,0,248.9993,25351.86,33876.78,29225.93
,0,9004,2,325.0963,2.08655,0.7836366,,,,,0,0,325.0963,36984.1,19966.01,18350.77
,0,9005,3,293.3421,1.907311,0.8530993,,,,,0,0,293.3421,301789.7,213219.4,293091.8
,0,9006,3,173.1774,16.56639,0.7790412,,,,,0,0,173.1774,38950.61,44135.61,48174.64
,0,9007,3,520.3279,2.169906,0.8450996,,,,,0,0,520.3279,40693.37,38379.53,41015.51
,0,9008,3,425.0961,13.46712,0.8480225,,,,,0,0,425.0961,50161.74,52601,37309.58
,0,9009,3,538.3834,2.102445,0.8489513,,,,,0,0,538.3834,44448.66,46518.27,40467.76
,0,9010,3,286.138,2.12165,0.8516081,,,,,0,0,286.138,71257.88,79788.98,71859.7
,0,9011,2,87.01975,4.014078,0.6036049,,,,,0,0,87.01975,114373.4,103753,93683.12
,0,9012,3,419.2654,2.619311,0.8446357,,,,,0,0,419.2654,27768.82,25726.48,30842.67
,0,9013,3,541.3387,2.471945,0.8059844,,,,,0,0,541.3387,24330.76,15884.43,36209.65
,0,9014,3,435.2518,2.782467,0.8501652,,,,,0,0,435.2518,55259.33,58219.59,43172.21
,0,9015,3,317.0869,13.44091,0.8450183,,,,,0,0,317.0869,46028.27,50996.99,46216.23
,0,9016,2,317.0877,11.08269,0.5452608,,,,,0,0,317.0877,9716.804,10571.42,10462.99
,0,9017,3,441.0937,2.399617,0.8437943,,,,,0,0,441.0937,42182.19,28468.78,45470.48
,0,9018,2,88.03057,12.82362,0.7061962,,,,,0,0,88.03057,17256.97,39108.65,29609.97
,0,9019,3,154.0121,13.88993,0.8385533,,,,,0,0,154.0121,46937.88,42636.12,40948.88
,0,9020,3,96.89855,13.73251,0.8513768,,,,,0,0,96.89855,102774.5,111728.9,105812.5
,0,9021,2,247.025,2.051617,0.7771454,,,,,0,0,247.025,43681,42999.91,28603.98
,0,9022,3,133.0295,3.988883,0.8418705,,,,,0,0,133.0295,33432.49,19314.63,21292.94
,0,9023,2,133.0294,11.05217,0.8104888,,,,,0,0,133.0294,10694.63,11099.09,13353.54
,0,9024,3,662.5089,2.218067,0.8474696,,,,,0,0,662.5089,21093.9,35946.35,17226.7
,0,9025,3,411.9569,13.46384,0.8498365,,,,,0,0,411.9569,45650.59,35463.09,36001.4
,0,9026,3,483.3481,2.374572,0.8538219,,,,,0,0,483.3481,263273.2,227711.2,214014
,0,9027,3,444.0923,2.186039,0.8467514,,,,,0,0,444.0923,50852.57,39804.21,45946.58
,0,9028,3,403.066,2.399623,0.8482203,,,,,0,0,403.066,43556,26208.76,34406.38
,0,9029,3,706.9788,13.81108,0.846307,,,,,0,0,706.9788,18878.12,39380.83,26235.21
,0,9030,3,220.8872,13.55847,0.7035974,,,,,0,0,220.8872,47357.72,50431.92,41670.02
,0,9031,3,350.157,3.145256,0.8397287,,,,,0,0,350.157,23088.23,22422.44,21806.38
,0,9032,3,289.0445,13.34579,0.8450213,,,,,0,0,289.0445,43235.31,43087.31,46938.96
,0,9033,3,363.1131,3.884489,0.816917,,,,,0,0,363.1131,29391.79,27032.08,16352.23
,0,9034,2,224.9159,13.95926,0.8446426,,,,,0,0,224.9159,45361.41,45757.14,43637.57
,0,9035,3,366.2003,4.017228,0.8487296,,,,,0,0,366.2003,64536.41,49388.59,46386.05
,0,9036,2,366.2007,2.540856,0.8385185,,,,,0,0,366.2007,50930.21,45967.48,40050.27
,0,9037,2,366.2003,6.869106,0.8345572,,,,,0,0,366.2003,20668.58,18309.39,25804.88
